cluster,cluster_size,gene,p_val,p_adj,mean_in,mean_out,log2FC,pct_in,pct_out
8,7960,CX3CL1,0.0,0.0,1.05408964552472,0.329416580158282,1.67800948039244,0.257663316582915,0.0805448639205088
9,7906,IER5,0.0,0.0,2.75270138078179,0.408858910844265,2.75117011862543,0.562231216797369,0.0966875706122182
9,7906,CRYAB,0.0,0.0,4.87339002537842,0.925202970775582,2.39708262159535,0.865165696939034,0.197026509259411
9,7906,NUAK2,0.0,0.0,2.63930777999199,0.54927830191497,2.26454831141353,0.549709081710094,0.131220015391417
9,7906,PDGFRA,0.0,0.0,2.41921094650261,0.507018486810981,2.25442406695975,0.525676701239565,0.110250574449156
9,7906,TSPAN1,0.0,0.0,0.587697060537013,0.12447299294288,2.23923079397138,0.142929420693144,0.0310066095765177
9,7906,FXYD2,0.0,0.0,3.86488739623319,0.990927009654376,1.96357459965038,0.751707563875538,0.227443660319072
9,7906,C4BPA,0.0,0.0,2.21459308305089,0.626649000198619,1.82131049725222,0.463318998229193,0.136814413352327
9,7906,CYP4A11,0.0,0.0,1.03288625126816,0.292649472283365,1.81943226791595,0.240703263344295,0.0704894143074681
9,7906,VEPH1,0.0,0.0,2.07604687234404,0.65771944315278,1.65829329403078,0.45952441183911,0.154880225304144
9,7906,ANXA13,0.0,0.0,2.46231065531064,0.865129342151071,1.50902396223452,0.529471287629648,0.199881016706783
9,7906,SLPI,0.0,0.0,3.27741881931338,1.19936490323579,1.45028862182324,0.661269921578548,0.269437121695894
9,7906,CYP3A5,0.0,0.0,3.81584568989298,1.40198352922471,1.44453277960942,0.741335694409309,0.307620934510067
9,7906,CYP3A4,0.0,0.0,0.79183903299583,0.298961939315348,1.4052423543817,0.188717429800152,0.0732948002117684
9,7906,S100A13,0.0,0.0,1.71145311199259,0.672340098936927,1.34795736431481,0.389830508474576,0.161664456197228
9,7906,CX3CL1,0.0,0.0,0.857406748478062,0.338117137030553,1.34245404892724,0.203010371869466,0.082955370349145
9,7906,ARSE,0.0,0.0,1.03163851025193,0.413801299982317,1.31792536328956,0.244497849734379,0.102571239882327
9,7906,ANXA9,0.0,0.0,1.72157397132688,0.710493234784822,1.27683416084775,0.390209967113585,0.169589398479415
9,7906,PAQR5,0.0,0.0,1.05036781074245,0.434254702872313,1.27427928273773,0.249304325828485,0.10826933887861
9,7906,ANPEP,0.0,0.0,4.83194934043165,2.12284208084091,1.18660789556054,0.857323551732861,0.439337623281428
9,7906,CHST9,0.0,0.0,2.45511164259313,1.07968797138559,1.18517344650936,0.531621553250696,0.247272389872229
10,7862,ACE2,0.0,0.0,1.39993128540618,0.183090604190129,2.93471950398753,0.308572882218265,0.0456175005320223
10,7862,FGB,0.0,0.0,3.74374994043478,0.702648594207008,2.41360714716445,0.704782498092088,0.136039462411943
10,7862,CCL20,0.0,0.0,1.78052279206822,0.446411438584591,1.99585258241434,0.381582294581531,0.101531678516667
10,7862,MLPH,0.0,0.0,0.829866349530323,0.20907503426087,1.98885304700321,0.192444670567286,0.0521600104767465
10,7862,FGA,0.0,0.0,4.33272469204457,1.10013372396463,1.9775946925221,0.77728313406258,0.220540971172577
10,7862,LOXL4,0.0,0.0,1.27158908970148,0.364574862401518,1.80234272515688,0.285932332739761,0.0905856610445098
10,7862,TMEM156,0.0,0.0,1.5405731295484,0.450608968533092,1.77351696905213,0.344060035614348,0.109001817060727
10,7862,FGG,0.0,0.0,5.84985901459699,1.75026261092454,1.74082987605722,0.912363266344442,0.325777707447766
10,7862,ALKAL2,0.0,0.0,1.95283809456623,0.600924863976913,1.70031416011355,0.426609005342152,0.140442969939377
10,7862,TFR2,0.0,0.0,0.824858347655738,0.26326375750662,1.64763373175668,0.192063088272704,0.0651904639779988
10,7862,CHST4,0.0,0.0,2.1645826736621,0.744943750969927,1.53888423333994,0.458534723988807,0.167589748066986
10,7862,GPX2,0.0,0.0,3.78463331526759,1.33269912145853,1.50580172084364,0.722844060035614,0.28839427489455
10,7862,SMIM24,0.0,0.0,1.11710119520365,0.39463204613681,1.50117749715419,0.254896972780463,0.0943070887194906
10,7862,MUC1,0.0,0.0,2.19485486687913,0.781792225586127,1.48926721458433,0.470363775120834,0.179785335828836
10,7862,VEPH1,0.0,0.0,1.86456389616416,0.667132612017257,1.48279137579918,0.409310607987789,0.157107544894496
10,7862,C5,0.0,0.0,2.25481471806742,0.809744131300153,1.47746973572793,0.479394556092597,0.186720723768573
10,7862,HOMER2,0.0,0.0,3.50434538242138,1.28381597444995,1.44870584190186,0.686720936148563,0.287881350845506
10,7862,CXCL2,0.0,0.0,2.53957941898466,0.960507394383963,1.40272003189459,0.52747392520987,0.215951937925277
10,7862,TMC5,0.0,0.0,1.33601000863339,0.51679520893584,1.37026450356388,0.301322818621216,0.121748525343359
10,7862,SERPINA6,0.0,0.0,2.14764224109198,0.881182428090306,1.28524008935198,0.459043500381582,0.205404255086952
11,7384,C9orf152,0.0,0.0,0.639568971141059,0.0858333296265895,2.89747552623864,0.143959913326111,0.0211819898661703
11,7384,CALB2,0.0,0.0,0.38867264879486,0.0731706766044903,2.40920207824251,0.0874864572047671,0.0185587321283764
11,7384,ANXA3,0.0,0.0,2.70575615689401,0.756155861776055,1.83927491046263,0.554712892741062,0.178354313952792
11,7384,FGA,0.0,0.0,3.93105229105748,1.12468528018578,1.80539328926197,0.736863488624052,0.223613673594897
11,7384,ALKAL2,0.0,0.0,2.04973977545876,0.600547661896328,1.77108841196141,0.436213434452871,0.140801454220887
11,7384,TMEM156,0.0,0.0,1.53940945954132,0.453491261588521,1.76322811699137,0.333423618634886,0.110040763901361
11,7384,ARHGAP24,0.0,0.0,1.14861196712192,0.357275143384047,1.68478126574944,0.25419826652221,0.0834653125867389
11,7384,C5,0.0,0.0,2.32278402199725,0.810771982461608,1.51848571673604,0.473862405200433,0.187704431781693
